Country,Name,Profession,Influence Score
India,Bobby Jindal, Elected Officials,416295
China,Tao Lin, Literature,112391
China,Daniel Akaka, Politics and government,112312
China,Goodwin Liu, Politics and government,111020
China,Goodwin Liu, Law and judiciary,111020
China,T. Y. Lin, Civil Rights,110969
China,Christina Gao, Sports,110162
China,Alfred Y. Cho, Civil Rights,108236
China,Shen Wei, Arts,106723
China,Ted Fu, Entertainment,106525
China,Jerry Hsu, Sports,106317
China,Charles Djou, Politics and government,105974
China,David Henry Hwang, Literature,105012
China,Tony Gunawan, Sports,104906
China,Denny Chin, Law and judiciary,104231
China,Haing S. Ngor, Entertainment,104168
China,Charles Wang, Business,104052
China,Chris Lu, Politics and government,102699
China,Ed Jew, Politics and government,102141
China,James Wong Howe, Arts,101677
China,Chien, Civil Rights,101024
China,Leroy Chiao, Civil Rights,100155
China,Tina Tchen, Politics and government,99898
China,Samuel C. C. Ting, Civil Rights,99573
China,Tim Wu, Civil Rights,99195
China,Fala Chen, Entertainment,96094
China,Vincent Chin, Other,95338
China,Chau Giang, Sports,93614
China,John Juanda, Sports,93305
China,Carmit Bachar, Music,93261
China,Amy Chow, Sports,93207
China,Hiram L. Fong, Politics and government,93160
China,David T. Hon, Business,92646
China,Brandon Lee, Entertainment,92339
China,Meg Tilly, Entertainment,92309
China,Keye Luke, Entertainment,91828
China,Julie Chen, Media,91495
China,Gene Luen Yang, Literature,89900
China,Rosalind Chao, Entertainment,89646
China,Alice S. Huang, Civil Rights,88883
China,David Wu, Politics and government,88767
China,Lisa Ling, Media,87325
China,B. D. Wong, Entertainment,87294
China,Leah Dizon, Entertainment,86651
China,Danny Chen, Military,86262
China,Eileen Chang, Literature,84885
China,John Liu, Politics and government,84875
China,Richard On, Music,84035
China,Lauren Tom, Entertainment,83879
China,Henry T. Yang, Civil Rights,83492
China,Vera Wang, Fashion design,83014
China,Jaycee Chan, Music,82942
China,Connie Chung, Media,82750
China,Julie Chu, Sports,82428
China,Chang and Eng Bunker, Other,82331
China,Kevin Cheng, Entertainment,82080
China,Anna Chen Chennault, Media,81539
